DURATION,Unnamed: 1,EXPERIENCE,Unnamed: 3,DESIGNATION,INSTITUTION
From,TO,NO.OF.YEARS,NO.OF MONTHS,,
02.12.2019,Present ,3,9,Professor,Velammal Engineering College
16.06.2016,01.12.2019,3,6,Associate Professor ,Velammal Engineering College
03.02.2016,15.06.2016,0,4,Associate Professor ,Priyadarshini Engineering College
26.08.2013,30.01.2016,2,5,Associate Professor ,Vel Tech Rangarajan Dr.Sakunthala R&D Institute of Science and Technology
03.01.2008,25.08.2013,6,0,Assistant Professor ,Vel Tech (Engineering College)
12.07.2006,31.12.2007,1,6,Lecturer,Ganadipathy Tulsi's Jain Engineering College
22.08.2002,11.07.2006,3,11,Lecturer,Sri Nandhanam College Engineering & Technology
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,3.4166666666666665,
